dish_id,ingredient_name,quantity,unit,category
1,鶏もも肉,150,g,肉
1,醤油,1,大さじ,調味料
1,みりん,1,大さじ,調味料
1,料理酒,1,大さじ,調味料
1,砂糖,2,小さじ,調味料
2,キャベツ,0.25,玉,野菜
3,豆腐,1,丁,豆腐
3,油揚げ,2,枚,豆腐
3,顆粒だし,1,袋,調味料
3,味噌,2,大さじ,調味料
4,白米,150,g,主食
5,鶏むね肉,150,g,肉
5,料理酒,1,小さじ,調味料
5,片栗粉,2,小さじ,調味料
5,ごま油,1,小さじ,調味料
5,キャベツ,0.25,玉,野菜
5,キムチ,80,g,野菜
5,醤油,1,小さじ,調味料
6,豚バラスライス,130,g,肉
6,玉ねぎ,1,個,野菜
6,白米,150,g,主食
6,卵黄,1,個,卵
6,ねぎ,適量,,野菜
6,砂糖,1,小さじ,調味料
6,焼肉のたれ,2,大さじ,調味料
6,味の素,適量,,調味料
7,きゅうり,1,本,野菜
7,ゆで卵,1,個,卵
7,ハム,4,枚,肉
7,マヨネーズ,2,大さじ,調味料
7,味噌,1,大さじ,調味料
7,砂糖,1,小さじ,調味料
7,ごま油,0.5,小さじ,調味料
7,にんにくチューブ,2,cm,調味料
8,ねぎ,1,本,野菜
8,豆腐,1,丁,豆腐
8,顆粒だし,1,袋,調味料
8,味噌,2,大さじ,調味料
9,鶏もも肉,150,g,肉
9,醤油,1,大さじ,調味料
9,料理酒,2,大さじ,調味料
9,しょうがチューブ,2,cm,調味料
9,にんにくチューブ,2,cm,調味料
9,片栗粉,9,小さじ,調味料
9,油,2,cm,調味料
9,キャベツ,0.25,玉,野菜
10,鶏むね肉,150,g,肉
10,長ねぎ,1,本,野菜
10,料理酒,1,小さじ,調味料
10,片栗粉,2,小さじ,調味料
10,鶏ガラスープの素,1,小さじ,調味料
10,ごま油,0.5,小さじ,調味料
10,塩こしょう,適量,,調味料
11,豚こま肉,150,g,肉
11,玉ねぎ,1,個,野菜
11,醤油,1,大さじ,調味料
11,みりん,1,大さじ,調味料
11,料理酒,1,大さじ,調味料
11,しょうがチューブ,5,cm,調味料
12,豚こま肉,150,g,肉
12,キムチ,100,g,野菜
12,キャベツ,0.25,玉,野菜
12,ごま油,1,小さじ,調味料
12,醤油,1,小さじ,調味料
13,ナス,1,本,野菜
13,ごま油,1,小さじ,調味料
13,ポン酢,1,大さじ,調味料
14,春雨,30,g,主食
14,卵,1,個,卵
14,水,450,ml,調味料
14,鶏ガラスープの素,1.5,小さじ,調味料
14,醤油,1,小さじ,調味料
14,塩こしょう,少し,,調味料
15,白米,180,g,主食
15,卵,2,個,卵
15,ごま油,1,小さじ,調味料
15,鶏ガラスープの素,1,小さじ,調味料
15,醤油,1,小さじ,調味料
15,塩こしょう,少し,,調味料
16,もやし,1,袋,野菜
16,ごま油,1,小さじ,調味料
16,鶏ガラスープの素,1,小さじ,調味料
16,醤油,0.5,小さじ,調味料
16,にんにくチューブ,2,cm,調味料
17,鶏もも肉,150,g,肉
17,玉ねぎ,1,個,野菜
17,卵,2,個,卵
17,白米,150,g,主食
17,水,80,ml,調味料
17,醤油,1,大さじ,調味料
17,みりん,1,大さじ,調味料
17,料理酒,1,大さじ,調味料
17,砂糖,1,小さじ,調味料
17,顆粒だし,0.5,小さじ,調味料
18,鶏むね肉,150,g,肉
18,玉ねぎ,1,個,野菜
18,片栗粉,2,小さじ,調味料
18,ごま油,1,小さじ,調味料
18,料理酒,1,小さじ,調味料
18,醤油,1,大さじ,調味料
18,酢,1,大さじ,調味料
18,みりん,1,大さじ,調味料
18,砂糖,1,小さじ,調味料
19,鶏むね肉,150,g,肉
19,長ねぎ,1,本,野菜
19,料理酒,1,小さじ,調味料
19,片栗粉,2,小さじ,調味料
19,ごま油,1,小さじ,調味料
19,ポン酢,2,大さじ,調味料
19,塩こしょう,少し,,調味料
20,うどん,1,玉,主食
20,豚バラ肉,150,g,肉
20,キムチ,100,g,野菜
20,玉ねぎ,1,個,野菜
20,ごま油,1,小さじ,調味料
20,醤油,1,小さじ,調味料
21,鶏むね肉,150,g,肉
21,卵,3,個,卵
21,料理酒,1,小さじ,調味料
21,片栗粉,2,小さじ,調味料
21,醤油,1,大さじ,調味料
21,みりん,1,大さじ,調味料
21,料理酒,1,大さじ,調味料
21,砂糖,1,小さじ,調味料
21,油,1,小さじ,調味料
22,合い挽き肉,200,g,肉
22,玉ねぎ,1,個,野菜
22,カットトマト缶,1,缶,野菜
22,ケチャップ,2,大さじ,調味料
22,コンソメ,1,小さじ,調味料
22,塩こしょう,1,少々,調味料
22,油,1,大さじ,調味料
22,パスタ,200,g,主食
23,マカロニ,150,g,主食
23,きゅうり,1,本,野菜
23,ハム,4,枚,肉
23,卵,2,個,卵
23,マヨネーズ,5,大さじ,調味料
23,塩こしょう,1,少々,調味料
24,パスタ,100,g,主食
24,ベーコン,50,g,肉
24,卵,3,個,卵
24,牛乳,2,大さじ,乳製品
24,粉チーズ,2,大さじ,乳製品
24,黒こしょう,1,少々,調味料
24,塩,1,小さじ,調味料
25,うどん,1,玉,主食
25,鶏もも肉,150,g,肉
25,長ねぎ,1,本,野菜
25,めんつゆ,3,大さじ,調味料
25,水,3,大さじ,調味料
25,ごま油,1,小さじ,調味料
25,しょうがチューブ,2,cm,調味料
26,パスタ,100,g,主食
26,サバ缶,1,缶,魚
26,玉ねぎ,1,個,野菜
26,醤油,1,大さじ,調味料
26,めんつゆ,1,大さじ,調味料
26,黒こしょう,1,少々,調味料
27,白米,150,g,主食
27,卵,2,個,卵
27,長ねぎ,0.5,本,野菜
27,水,200,ml,調味料
27,鶏ガラスープの素,1,小さじ,調味料
27,醤油,1,小さじ,調味料
27,片栗粉,1,小さじ,調味料
27,サラダ油,1,小さじ,調味料
28,キャベツ,0.25,玉,野菜
28,ごま油,1,小さじ,調味料
28,鶏ガラスープの素,0.5,小さじ,調味料
28,黒こしょう,1,少々,調味料
29,長ねぎ,0.5,本,野菜
29,水,300,ml,調味料
29,鶏ガラスープの素,1,小さじ,調味料
29,醤油,0.5,小さじ,調味料
29,ごま油,0.5,小さじ,調味料
30,豚こま肉,150,g,肉
30,キャベツ,0.25,玉,野菜
30,玉ねぎ,1,個,野菜
30,ピーマン,2,個,野菜
30,味噌,1,大さじ,調味料
30,みりん,1,大さじ,調味料
30,醤油,1,小さじ,調味料
30,豆板醤,1,小さじ,調味料
30,サラダ油,1,小さじ,調味料
31,うどん,1,玉,主食
31,卵,1,個,卵
31,めんつゆ,1,大さじ,調味料
31,醤油,0.5,小さじ,調味料
32,豚こま肉,150,g,肉
32,ピーマン,3,個,野菜
32,玉ねぎ,1,個,野菜
32,ごま油,1,小さじ,調味料
32,醤油,1,大さじ,調味料
32,みりん,1,大さじ,調味料
32,鶏ガラスープの素,1,小さじ,調味料
32,にんにくチューブ,2,cm,調味料
33,鶏もも肉,150,g,肉
33,卵,2,個,卵
33,醤油,1,大さじ,調味料
33,酢,1,大さじ,調味料
33,砂糖,1,小さじ,調味料
33,マヨネーズ,2,大さじ,調味料
33,キャベツ,0.25,玉,野菜
34,卵,1,個,卵
34,水,300,ml,調味料
34,鶏ガラスープの素,1,小さじ,調味料
34,醤油,0.5,小さじ,調味料
34,ごま油,0.5,小さじ,調味料
35,豚バラ肉,150,g,肉
35,玉ねぎ,1,個,野菜
35,長ねぎ,0.33,本,野菜
35,白米,150,g,主食
35,醤油,1,大さじ,調味料
35,みりん,1,大さじ,調味料
35,砂糖,1,小さじ,調味料
36,じゃがいも,3,個,野菜
36,玉ねぎ,1,個,野菜
36,ベーコン,1,パック,肉
36,コンソメ,1,小さじ,調味料
36,塩こしょう,1,少々,調味料
36,サラダ油,1,小さじ,調味料
37,うどん,1,玉,主食
37,豚バラ肉,150,g,肉
37,長ねぎ,1,本,野菜
37,めんつゆ,3,大さじ,調味料
38,鶏もも肉,150,g,肉
38,もやし,1,袋,野菜
38,鶏ガラスープの素,1,小さじ,調味料
38,ごま油,1,小さじ,調味料
38,にんにくチューブ,2,cm,調味料
38,黒こしょう,1,少々,調味料
39,じゃがいも,1,個,野菜
39,ベーコン,0.5,パック,肉
39,水,400,ml,調味料
39,コンソメ,1.5,小さじ,調味料
39,塩こしょう,1,少々,調味料
